,count,mean,std,min,25%,50%,75%,max
danceability,3890.0,0.6334285347043701,0.1456231488262334,0.133,0.543,0.647,0.736,0.988
energy,3890.0,0.6379311568123393,0.18721933391881423,0.0204,0.503,0.655,0.789,0.997
loudness,3890.0,-8.281484318766067,3.530032735950088,-37.841,-10.5975,-7.6419999999999995,-5.545,-1.19
speechiness,3890.0,0.06683470437017994,0.06965344068055619,0.022,0.0319,0.0412,0.0635,0.529
acousticness,3890.0,0.21940354195372752,0.23420309889959556,2.41e-05,0.033925,0.127,0.33875000000000005,0.994
instrumentalness,3890.0,0.027805161179948586,0.12436106787541043,0.0,0.0,7.075e-06,0.0005995,0.961
liveness,3890.0,0.17269210796915166,0.14499098826210394,0.015,0.0842,0.118,0.213,0.991
valence,3890.0,0.5945629820051413,0.24174906122057804,0.0382,0.4,0.612,0.8,0.985
tempo,3890.0,119.78805912596403,27.154181126990334,58.993,99.76875,118.73949999999999,134.47074999999998,210.893
duration_ms,3890.0,244771.90102827764,61912.187131839426,80927.0,209016.75,236866.0,269569.75,1561133.0
