,feature,h,change_point,p_val,U,mu_after,mu_before
0,acousticness,True,1998-12-31,0.0,512.0,0.1584169393741228,0.2553557942775255
1,danceability,True,1982-12-31,0.0001,442.0,0.6473323967987005,0.5984972426706329
2,duration_ms,True,2004-12-31,5e-05,458.0,223131.35873855854,252809.2586058863
3,energy,True,1999-12-31,0.0,476.0,0.6835532663769052,0.612299990261873
4,instrumentalness,True,1997-12-31,0.0,482.0,0.012953120081260205,0.03747069272561722
5,liveness,False,1984-12-31,0.053,266.0,0.16657147426140761,0.18532629193638278
6,loudness,True,1994-12-31,0.0,650.0,-6.246926878868591,-9.922942232789165
7,mode,True,1991-12-31,0.0,460.0,0.6414045374716898,0.7254056950415351
8,speechiness,True,1991-12-31,0.0,632.0,0.08566362459332845,0.04811334168135044
9,tempo,True,2004-12-31,0.03505,282.0,122.0220315302704,118.8897661145862
10,valence,True,1991-12-31,0.0,618.0,0.5373749702570138,0.6534830240665147
